,ROC_AUC,PR_AUC,F1,Recall,Precision,Brier
Logistic,0.724806667950199,0.39101829024780993,0.46485682409817775,0.9827044025157232,0.3044325377496347,0.3927961587905884
XGBoost,0.7603195104037421,0.46980275932480187,0.5122254455035226,0.9716981132075472,0.3477771525042206,0.3310464024543762
GCN,0.6922887341519416,0.39902500379401296,0.4299255247122546,0.9984276729559748,0.2739430543572045,0.40329647064208984
GAT,0.7287299091544375,0.4233854693104584,0.5122569737954353,0.9528301886792453,0.35028901734104045,0.3233386278152466
